prospect_id,agency_name,city_region,agency_type,fit_score,fit_reason,personalization_hook,sample_client_niche,competitors_to_watch,outreach_channel,outreach_status,next_action,public_lookup_query,notes
P001,Page Pros - Local SEO Agency,Toronto ON,Local SEO agency,5,"Strong local SEO fit; high public review count; likely understands client reporting and local-service retainers.","You already sell local SEO into markets where clients need sharper weekly visibility and reputation context.",Toronto roofing contractor,"Universal Roofs; Alba Tech Roofing; Available Roofing",Website contact form + LinkedIn,not_started,"Find founder/owner/contact page and send sample brief offer.","Page Pros Local SEO Agency Toronto contact","Top priority. Use Toronto roofing pilot as immediately relevant sample."
P002,Local SEO Search,Toronto ON,Local SEO agency,5,"Strong local SEO and web/design services fit; visible public reviews; likely works with SMB service clients.","Your agency already operates in the exact local SEO lane where weekly competitor/reputation signals are useful.",Toronto dental clinic,"local dental competitors in Toronto",Website contact form + LinkedIn,not_started,"Find owner/contact and pitch a one-client sample.","Local SEO Search Toronto contact","Strong fit for local SEO sample packet."
P003,Reputation.ca Reputation Management,Toronto ON,Reputation management / PR,5,"Direct reputation-management fit; reviews and online reputation are core to the Brief Factory offer.","Your reputation-management work maps directly to weekly evidence-backed client monitoring briefs.",Toronto med spa,"local med spa competitors in Toronto",Website contact form + LinkedIn,not_started,"Find contact page and pitch reputation-focused sample.","Reputation.ca Reputation Management contact","Top reputation-management target."
P004,dNovo Group,Toronto ON,SEO / digital marketing agency,5,"Known Toronto digital marketing and SEO agency serving professional services; good fit for legal/healthcare client briefs.","Your work with professional services clients is a clean fit for weekly competitor and content-gap intelligence.",Toronto personal injury law firm,"local PI law competitors in Toronto",Website contact form + LinkedIn,not_started,"Find current contact page and pitch legal-services sample.","dNovo Group Toronto SEO contact","Use legal-services sample angle, not roofing."
P005,Local Service Booster SEO,Toronto ON,Local SEO agency,5,"Name and categories indicate local-service SEO focus; strong fit for home-services pilot.","Brief Factory is built for local-service SEO reporting, which appears to be your lane.",Toronto HVAC company,"local HVAC competitors in Toronto",Website contact form + LinkedIn,not_started,"Find contact and send short outreach.","Local Service Booster SEO Toronto contact","Good first-wave prospect."
P006,Pivot Reputation Management,Toronto ON,Reputation management,5,"Public description centers on protecting, generating, and repairing reviews; direct product fit.","Your protect/generate/repair reputation positioning is exactly where weekly evidence briefs can add value.",Toronto dental clinic,"local dental competitors in Toronto",Website contact form + LinkedIn,not_started,"Find contact page; pitch review/reputation sample.","Pivot Reputation Management Toronto contact","High conceptual fit despite limited public reviews."
P007,Propeller - Local SEO Toronto,Toronto ON,Local SEO / marketing agency,4,"Local SEO Toronto positioning; likely relevant though public review count is low.","You are positioned around local SEO in Toronto, so a sample local-service brief should be easy to judge.",Toronto roofing contractor,"Universal Roofs; Alba Tech Roofing; Available Roofing",Website contact form + LinkedIn,not_started,"Find website and owner/contact.","Propeller Local SEO Toronto contact","Use existing roofing pilot sample."
P008,Rich-Content,Toronto ON,Marketing / content agency,4,"Content and marketing agency fit; likely values client-ready insights and talking points.","A weekly intelligence packet can turn market monitoring into client-ready content angles.",Toronto home remodeling company,"local renovation competitors in Toronto",Website contact form + LinkedIn,not_started,"Find contact and pitch content-angle sample.","Rich-Content Toronto marketing agency contact","Good for content strategy angle."
P009,Trueblu Content Inc.,Toronto ON,Marketing/content agency,4,"Content agency fit; can use brief as recurring source-backed idea and strategy layer.","Your content work could be supported by weekly source-backed client intelligence packets.",Toronto boutique fitness studio,"local boutique fitness competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch a content brief sample.","Trueblu Content Inc Toronto contact","Good sample niche: boutique fitness or local service."
P010,Pierce Content Marketing,Toronto ON,Content marketing agency,4,"Content marketing agency; likely uses research and client messaging.","Brief Factory can turn scattered research into weekly client-ready content and strategy signals.",Toronto accounting firm,"local accounting firm competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch sample.","Pierce Content Marketing Toronto contact","Good for professional-services sample."
